"Step","100H_causal_sinh - train_loss","100H_causal_sinh - train_loss__MIN","100H_causal_sinh - train_loss__MAX"
"192","159.4936065673828","159.4936065673828","159.4936065673828"
"193","61.947608947753906","61.947608947753906","61.947608947753906"
"194","65.51492309570312","65.51492309570312","65.51492309570312"
"195","122.91436767578125","122.91436767578125","122.91436767578125"
"196","39.9714469909668","39.9714469909668","39.9714469909668"
"197","82.78929138183594","82.78929138183594","82.78929138183594"
"209","61.27777862548828","61.27777862548828","61.27777862548828"
"211","87.09192657470703","87.09192657470703","87.09192657470703"
"213","108.30966186523438","108.30966186523438","108.30966186523438"
"221","92.132568359375","92.132568359375","92.132568359375"
"222","36.905784606933594","36.905784606933594","36.905784606933594"
"223","59.67789840698242","59.67789840698242","59.67789840698242"
"224","56.64358901977539","56.64358901977539","56.64358901977539"
"225","47.277793884277344","47.277793884277344","47.277793884277344"
