"Step","causal_nosinh_pt1 - train_loss","causal_nosinh_pt1 - train_loss__MIN","causal_nosinh_pt1 - train_loss__MAX"
"102","58.898704528808594","58.898704528808594","58.898704528808594"
"103","71.75761413574219","71.75761413574219","71.75761413574219"
"104","44.83357238769531","44.83357238769531","44.83357238769531"
"105","113.2501220703125","113.2501220703125","113.2501220703125"
"106","73.0251235961914","73.0251235961914","73.0251235961914"
"107","34.59449005126953","34.59449005126953","34.59449005126953"
"108","72.7345199584961","72.7345199584961","72.7345199584961"
"109","52.930908203125","52.930908203125","52.930908203125"
"110","51.72552490234375","51.72552490234375","51.72552490234375"
"111","88.0262222290039","88.0262222290039","88.0262222290039"
"112","88.39360046386719","88.39360046386719","88.39360046386719"
"113","50.22180938720703","50.22180938720703","50.22180938720703"
"114","68.7579345703125","68.7579345703125","68.7579345703125"
"116","47.73590850830078","47.73590850830078","47.73590850830078"
"117","37.92621612548828","37.92621612548828","37.92621612548828"
