"Step","pretraining - train_loss","pretraining - train_loss__MIN","pretraining - train_loss__MAX"
"316","4074.557861328125","4074.557861328125","4074.557861328125"
"317","3010.272216796875","3010.272216796875","3010.272216796875"
"319","5140.03076171875","5140.03076171875","5140.03076171875"
"324","4336.3251953125","4336.3251953125","4336.3251953125"
"325","3812.478515625","3812.478515625","3812.478515625"
"330","2429.599853515625","2429.599853515625","2429.599853515625"
"331","4136.4267578125","4136.4267578125","4136.4267578125"
"335","4683.1484375","4683.1484375","4683.1484375"
"336","2647.1259765625","2647.1259765625","2647.1259765625"
"337","2981.7158203125","2981.7158203125","2981.7158203125"
"343","4919.44677734375","4919.44677734375","4919.44677734375"
"346","4354.9853515625","4354.9853515625","4354.9853515625"
"348","3429.27978515625","3429.27978515625","3429.27978515625"
"350","2079.11474609375","2079.11474609375","2079.11474609375"
"352","2032.273193359375","2032.273193359375","2032.273193359375"
"355","2686.212158203125","2686.212158203125","2686.212158203125"
"360","4185.408203125","4185.408203125","4185.408203125"
"361","2479.162841796875","2479.162841796875","2479.162841796875"
"364","4232.74169921875","4232.74169921875","4232.74169921875"
"366","3051.50048828125","3051.50048828125","3051.50048828125"
"367","2720.37109375","2720.37109375","2720.37109375"
"369","1898.0037841796875","1898.0037841796875","1898.0037841796875"
"371","3005.5146484375","3005.5146484375","3005.5146484375"
"376","3419.84130859375","3419.84130859375","3419.84130859375"
"377","2732.259765625","2732.259765625","2732.259765625"
"381","2896.700927734375","2896.700927734375","2896.700927734375"
"388","2622.70556640625","2622.70556640625","2622.70556640625"
"389","2868.663818359375","2868.663818359375","2868.663818359375"
"391","5436.251953125","5436.251953125","5436.251953125"
"394","3320.739990234375","3320.739990234375","3320.739990234375"
"396","5213.53662109375","5213.53662109375","5213.53662109375"
"400","2864.406982421875","2864.406982421875","2864.406982421875"
"404","1743.6005859375","1743.6005859375","1743.6005859375"
"405","3475.734375","3475.734375","3475.734375"
"406","4624.03076171875","4624.03076171875","4624.03076171875"
"409","4498.27734375","4498.27734375","4498.27734375"
"413","4278.8583984375","4278.8583984375","4278.8583984375"
"424","1624.2584228515625","1624.2584228515625","1624.2584228515625"
"425","1917.28271484375","1917.28271484375","1917.28271484375"
"426","3147.14111328125","3147.14111328125","3147.14111328125"
"427","4845.08837890625","4845.08837890625","4845.08837890625"
"429","1895.89404296875","1895.89404296875","1895.89404296875"
"434","3082.373779296875","3082.373779296875","3082.373779296875"
"440","1366.3349609375","1366.3349609375","1366.3349609375"
"441","1367.8544921875","1367.8544921875","1367.8544921875"
"446","1695.74169921875","1695.74169921875","1695.74169921875"
"450","3383.154052734375","3383.154052734375","3383.154052734375"
"453","2985.655029296875","2985.655029296875","2985.655029296875"
"454","2025.3057861328125","2025.3057861328125","2025.3057861328125"
"456","1441.1387939453125","1441.1387939453125","1441.1387939453125"
"457","2294.7939453125","2294.7939453125","2294.7939453125"
"459","2379.92919921875","2379.92919921875","2379.92919921875"
"460","2638.005615234375","2638.005615234375","2638.005615234375"
"461","1005.8382568359375","1005.8382568359375","1005.8382568359375"
"462","2105.4462890625","2105.4462890625","2105.4462890625"
"464","2175.26025390625","2175.26025390625","2175.26025390625"
"467","2378.264404296875","2378.264404296875","2378.264404296875"
"469","4171.9931640625","4171.9931640625","4171.9931640625"
"471","2746.793701171875","2746.793701171875","2746.793701171875"
"474","2116.95458984375","2116.95458984375","2116.95458984375"
"476","3288.345703125","3288.345703125","3288.345703125"
"481","3390.77978515625","3390.77978515625","3390.77978515625"
"482","882.6910400390625","882.6910400390625","882.6910400390625"
"487","938.8486938476562","938.8486938476562","938.8486938476562"
"488","3676.1376953125","3676.1376953125","3676.1376953125"
"489","644.7084350585938","644.7084350585938","644.7084350585938"
"493","2249.527099609375","2249.527099609375","2249.527099609375"
"494","1801.50244140625","1801.50244140625","1801.50244140625"
"495","1255.610107421875","1255.610107421875","1255.610107421875"
"496","4112.166015625","4112.166015625","4112.166015625"
"497","1971.513427734375","1971.513427734375","1971.513427734375"
"498","861.0447998046875","861.0447998046875","861.0447998046875"
"500","697.1803588867188","697.1803588867188","697.1803588867188"
"501","2559.85498046875","2559.85498046875","2559.85498046875"
"502","1635.501708984375","1635.501708984375","1635.501708984375"
"505","1991.160888671875","1991.160888671875","1991.160888671875"
"510","1199.1944580078125","1199.1944580078125","1199.1944580078125"
"511","618.5352172851562","618.5352172851562","618.5352172851562"
"512","2271.595947265625","2271.595947265625","2271.595947265625"
"513","2420.993896484375","2420.993896484375","2420.993896484375"
"514","1823.47314453125","1823.47314453125","1823.47314453125"
"516","930.5776977539062","930.5776977539062","930.5776977539062"
"518","1679.1788330078125","1679.1788330078125","1679.1788330078125"
"525","4370.849609375","4370.849609375","4370.849609375"
"526","3265.93310546875","3265.93310546875","3265.93310546875"
"531","627.679443359375","627.679443359375","627.679443359375"
"533","2405.567138671875","2405.567138671875","2405.567138671875"
"536","3119.7841796875","3119.7841796875","3119.7841796875"
"541","658.1663818359375","658.1663818359375","658.1663818359375"
"542","742.2925415039062","742.2925415039062","742.2925415039062"
"544","4036.02001953125","4036.02001953125","4036.02001953125"
"548","716.1808471679688","716.1808471679688","716.1808471679688"
"549","1250.08447265625","1250.08447265625","1250.08447265625"
"550","485.12628173828125","485.12628173828125","485.12628173828125"
"551","2158.326416015625","2158.326416015625","2158.326416015625"
"559","1472.964599609375","1472.964599609375","1472.964599609375"
"563","1502.9923095703125","1502.9923095703125","1502.9923095703125"
"564","4338.708984375","4338.708984375","4338.708984375"
"567","444.0635681152344","444.0635681152344","444.0635681152344"
"573","1797.598388671875","1797.598388671875","1797.598388671875"
"574","2444.236572265625","2444.236572265625","2444.236572265625"
"576","2504.626953125","2504.626953125","2504.626953125"
"577","3013.771728515625","3013.771728515625","3013.771728515625"
"580","2326.23583984375","2326.23583984375","2326.23583984375"
"581","768.0057373046875","768.0057373046875","768.0057373046875"
"582","904.0508422851562","904.0508422851562","904.0508422851562"
"583","1215.0765380859375","1215.0765380859375","1215.0765380859375"
"584","3708.8642578125","3708.8642578125","3708.8642578125"
"585","739.8190307617188","739.8190307617188","739.8190307617188"
"586","3365.4189453125","3365.4189453125","3365.4189453125"
"588","2090.40478515625","2090.40478515625","2090.40478515625"
"590","1105.859375","1105.859375","1105.859375"
"591","927.2633056640625","927.2633056640625","927.2633056640625"
"592","4665.4345703125","4665.4345703125","4665.4345703125"
"594","845.4640502929688","845.4640502929688","845.4640502929688"
"595","2470.83349609375","2470.83349609375","2470.83349609375"
"596","614.564453125","614.564453125","614.564453125"
"597","711.2579956054688","711.2579956054688","711.2579956054688"
"598","2775.13671875","2775.13671875","2775.13671875"
"603","1540.5177001953125","1540.5177001953125","1540.5177001953125"
"605","563.0255737304688","563.0255737304688","563.0255737304688"
"607","1606.6370849609375","1606.6370849609375","1606.6370849609375"
"608","257.47930908203125","257.47930908203125","257.47930908203125"
"612","3061.991943359375","3061.991943359375","3061.991943359375"
"613","1418.9366455078125","1418.9366455078125","1418.9366455078125"
"615","1267.190673828125","1267.190673828125","1267.190673828125"
"616","743.5618896484375","743.5618896484375","743.5618896484375"
"618","1573.12158203125","1573.12158203125","1573.12158203125"
"621","4751.46142578125","4751.46142578125","4751.46142578125"
"622","1552.885498046875","1552.885498046875","1552.885498046875"
"624","2347.9326171875","2347.9326171875","2347.9326171875"
"625","507.0536193847656","507.0536193847656","507.0536193847656"
"627","2823.44091796875","2823.44091796875","2823.44091796875"
"631","105.40948486328125","105.40948486328125","105.40948486328125"
"633","771.8137817382812","771.8137817382812","771.8137817382812"
"634","1261.8660888671875","1261.8660888671875","1261.8660888671875"
"635","84.82872009277344","84.82872009277344","84.82872009277344"
"642","185.21417236328125","185.21417236328125","185.21417236328125"
"643","1681.1748046875","1681.1748046875","1681.1748046875"
"645","1707.197021484375","1707.197021484375","1707.197021484375"
"646","1173.3111572265625","1173.3111572265625","1173.3111572265625"
"647","2252.1875","2252.1875","2252.1875"
"648","1320.080810546875","1320.080810546875","1320.080810546875"
"649","1593.5828857421875","1593.5828857421875","1593.5828857421875"
"650","560.6414794921875","560.6414794921875","560.6414794921875"
"651","1308.9940185546875","1308.9940185546875","1308.9940185546875"
"652","98.52949523925781","98.52949523925781","98.52949523925781"
"661","706.1702880859375","706.1702880859375","706.1702880859375"
"662","1611.4033203125","1611.4033203125","1611.4033203125"
"666","593.0460815429688","593.0460815429688","593.0460815429688"
"667","1239.4267578125","1239.4267578125","1239.4267578125"
"670","902.1201171875","902.1201171875","902.1201171875"
"674","305.8100891113281","305.8100891113281","305.8100891113281"
"675","110.10372924804688","110.10372924804688","110.10372924804688"
"680","1318.6439208984375","1318.6439208984375","1318.6439208984375"
"682","435.8108825683594","435.8108825683594","435.8108825683594"
"685","1979.6331787109375","1979.6331787109375","1979.6331787109375"
"690","1153.030517578125","1153.030517578125","1153.030517578125"
"691","90.07611846923828","90.07611846923828","90.07611846923828"
"692","1085.118896484375","1085.118896484375","1085.118896484375"
"694","2563.89599609375","2563.89599609375","2563.89599609375"
"696","500.923583984375","500.923583984375","500.923583984375"
"699","1236.501953125","1236.501953125","1236.501953125"
"701","2538.09619140625","2538.09619140625","2538.09619140625"
"702","1862.7147216796875","1862.7147216796875","1862.7147216796875"
"712","344.4716796875","344.4716796875","344.4716796875"
"714","1486.831298828125","1486.831298828125","1486.831298828125"
"718","1101.32763671875","1101.32763671875","1101.32763671875"
"719","2916.94775390625","2916.94775390625","2916.94775390625"
"721","276.4759521484375","276.4759521484375","276.4759521484375"
"723","656.017578125","656.017578125","656.017578125"
"725","2782.501220703125","2782.501220703125","2782.501220703125"
"726","259.09075927734375","259.09075927734375","259.09075927734375"
"728","2902.785400390625","2902.785400390625","2902.785400390625"
"730","1043.5479736328125","1043.5479736328125","1043.5479736328125"
"733","672.5731811523438","672.5731811523438","672.5731811523438"
"744","2862.63623046875","2862.63623046875","2862.63623046875"
"745","170.09564208984375","170.09564208984375","170.09564208984375"
"751","2383.326171875","2383.326171875","2383.326171875"
"754","1843.9371337890625","1843.9371337890625","1843.9371337890625"
"757","987.4100341796875","987.4100341796875","987.4100341796875"
"758","1573.4061279296875","1573.4061279296875","1573.4061279296875"
"759","408.561279296875","408.561279296875","408.561279296875"
"760","1392.6768798828125","1392.6768798828125","1392.6768798828125"
"762","990.278076171875","990.278076171875","990.278076171875"
"763","1080.8284912109375","1080.8284912109375","1080.8284912109375"
"768","513.1234741210938","513.1234741210938","513.1234741210938"
"769","1030.0042724609375","1030.0042724609375","1030.0042724609375"
"772","508.0244445800781","508.0244445800781","508.0244445800781"
"773","70.62837219238281","70.62837219238281","70.62837219238281"
"775","1053.3076171875","1053.3076171875","1053.3076171875"
"781","96.66991424560547","96.66991424560547","96.66991424560547"
"782","66.08621215820312","66.08621215820312","66.08621215820312"
"788","1208.0360107421875","1208.0360107421875","1208.0360107421875"
"789","1943.9949951171875","1943.9949951171875","1943.9949951171875"
"794","66.65779113769531","66.65779113769531","66.65779113769531"
"801","188.881591796875","188.881591796875","188.881591796875"
"804","1155.935546875","1155.935546875","1155.935546875"
"806","408.7884216308594","408.7884216308594","408.7884216308594"
"807","2268.60107421875","2268.60107421875","2268.60107421875"
"812","198.06187438964844","198.06187438964844","198.06187438964844"
"826","3406.55615234375","3406.55615234375","3406.55615234375"
"827","1195.007080078125","1195.007080078125","1195.007080078125"
"832","2129.720458984375","2129.720458984375","2129.720458984375"
"837","62.79523468017578","62.79523468017578","62.79523468017578"
