"Step","train_nocausal_correct_scheduler_pt2 - train_loss","train_nocausal_correct_scheduler_pt2 - train_loss__MIN","train_nocausal_correct_scheduler_pt2 - train_loss__MAX"
"73","45.271217346191406","45.271217346191406","45.271217346191406"
"74","41.99831771850586","41.99831771850586","41.99831771850586"
"75","33.7909049987793","33.7909049987793","33.7909049987793"
"76","31.746837615966797","31.746837615966797","31.746837615966797"
"77","38.80180740356445","38.80180740356445","38.80180740356445"
"78","43.13518142700195","43.13518142700195","43.13518142700195"
"79","30.610965728759766","30.610965728759766","30.610965728759766"
"80","26.908166885375977","26.908166885375977","26.908166885375977"
"81","27.359914779663086","27.359914779663086","27.359914779663086"
"82","29.168176651000977","29.168176651000977","29.168176651000977"
"83","27.827604293823242","27.827604293823242","27.827604293823242"
"84","37.09591293334961","37.09591293334961","37.09591293334961"
"85","37.22879409790039","37.22879409790039","37.22879409790039"
"86","40.75049591064453","40.75049591064453","40.75049591064453"
"87","33.59580993652344","33.59580993652344","33.59580993652344"
"88","35.27074432373047","35.27074432373047","35.27074432373047"
"89","39.951637268066406","39.951637268066406","39.951637268066406"
"90","43.837120056152344","43.837120056152344","43.837120056152344"
"91","33.741275787353516","33.741275787353516","33.741275787353516"
"92","27.631845474243164","27.631845474243164","27.631845474243164"
"93","38.05310821533203","38.05310821533203","38.05310821533203"
"94","37.741539001464844","37.741539001464844","37.741539001464844"
"95","30.951709747314453","30.951709747314453","30.951709747314453"
"96","31.372783660888672","31.372783660888672","31.372783660888672"
"97","23.55318260192871","23.55318260192871","23.55318260192871"
"98","30.694400787353516","30.694400787353516","30.694400787353516"
"99","33.498870849609375","33.498870849609375","33.498870849609375"
"100","37.712501525878906","37.712501525878906","37.712501525878906"
"101","36.90702819824219","36.90702819824219","36.90702819824219"
"102","33.97662353515625","33.97662353515625","33.97662353515625"
"103","36.04855728149414","36.04855728149414","36.04855728149414"
"104","30.331809997558594","30.331809997558594","30.331809997558594"
"105","46.95845031738281","46.95845031738281","46.95845031738281"
"106","39.377906799316406","39.377906799316406","39.377906799316406"
"107","26.2264461517334","26.2264461517334","26.2264461517334"
"108","33.565887451171875","33.565887451171875","33.565887451171875"
"109","33.513511657714844","33.513511657714844","33.513511657714844"
"110","32.28815460205078","32.28815460205078","32.28815460205078"
