"trainer/global_step","pretraining - train_loss","pretraining - train_loss__MIN","pretraining - train_loss__MAX","pretraining - _step","pretraining - _step__MIN","pretraining - _step__MAX"
"3819","67.5430679321289","67.5430679321289","67.5430679321289","381","381","381"
"3889","82.54875946044922","82.54875946044922","82.54875946044922","388","388","388"
"3899","89.23248291015625","89.23248291015625","89.23248291015625","389","389","389"
"3919","150.65142822265625","150.65142822265625","150.65142822265625","391","391","391"
"3929","48.89862060546875","48.89862060546875","48.89862060546875","392","392","392"
"3949","57.89198303222656","57.89198303222656","57.89198303222656","394","394","394"
"3969","124.29945373535156","124.29945373535156","124.29945373535156","396","396","396"
"4009","84.11126708984375","84.11126708984375","84.11126708984375","400","400","400"
"4049","51.395694732666016","51.395694732666016","51.395694732666016","404","404","404"
"4059","96.6402587890625","96.6402587890625","96.6402587890625","405","405","405"
"4069","162.06727600097656","162.06727600097656","162.06727600097656","406","406","406"
"4099","186.34326171875","186.34326171875","186.34326171875","409","409","409"
"4139","79.75450134277344","79.75450134277344","79.75450134277344","413","413","413"
"4249","35.10918045043945","35.10918045043945","35.10918045043945","424","424","424"
"4259","57.22804260253906","57.22804260253906","57.22804260253906","425","425","425"
"4269","101.12071228027344","101.12071228027344","101.12071228027344","426","426","426"
"4279","192.5263214111328","192.5263214111328","192.5263214111328","427","427","427"
"4299","64.52354431152344","64.52354431152344","64.52354431152344","429","429","429"
"4349","83.87627410888672","83.87627410888672","83.87627410888672","434","434","434"
"4409","88.86051940917969","88.86051940917969","88.86051940917969","440","440","440"
"4419","41.1163444519043","41.1163444519043","41.1163444519043","441","441","441"
"4469","60.26141357421875","60.26141357421875","60.26141357421875","446","446","446"
"4509","118.8406753540039","118.8406753540039","118.8406753540039","450","450","450"
"4539","119.32830047607422","119.32830047607422","119.32830047607422","453","453","453"
"4549","59.55754089355469","59.55754089355469","59.55754089355469","454","454","454"
"4559","63.001678466796875","63.001678466796875","63.001678466796875","455","455","455"
"4569","44.360233306884766","44.360233306884766","44.360233306884766","456","456","456"
"4579","87.11835479736328","87.11835479736328","87.11835479736328","457","457","457"
"4599","85.35832977294922","85.35832977294922","85.35832977294922","459","459","459"
"4609","56.90016174316406","56.90016174316406","56.90016174316406","460","460","460"
"4619","45.70024490356445","45.70024490356445","45.70024490356445","461","461","461"
"4629","68.0906982421875","68.0906982421875","68.0906982421875","462","462","462"
"4649","138.62872314453125","138.62872314453125","138.62872314453125","464","464","464"
"4679","55.216835021972656","55.216835021972656","55.216835021972656","467","467","467"
"4699","204.58547973632812","204.58547973632812","204.58547973632812","469","469","469"
"4719","85.13516998291016","85.13516998291016","85.13516998291016","471","471","471"
"4749","105.79191589355469","105.79191589355469","105.79191589355469","474","474","474"
"4769","115.06629943847656","115.06629943847656","115.06629943847656","476","476","476"
"4819","103.97128295898438","103.97128295898438","103.97128295898438","481","481","481"
"4829","48.06022644042969","48.06022644042969","48.06022644042969","482","482","482"
"4879","51.11544418334961","51.11544418334961","51.11544418334961","487","487","487"
"4889","108.73675537109375","108.73675537109375","108.73675537109375","488","488","488"
"4899","38.95656967163086","38.95656967163086","38.95656967163086","489","489","489"
"4939","80.63319396972656","80.63319396972656","80.63319396972656","493","493","493"
"4949","88.51438903808594","88.51438903808594","88.51438903808594","494","494","494"
"4959","61.871429443359375","61.871429443359375","61.871429443359375","495","495","495"
"4969","151.0213623046875","151.0213623046875","151.0213623046875","496","496","496"
"4979","73.94747924804688","73.94747924804688","73.94747924804688","497","497","497"
"4989","44.54307174682617","44.54307174682617","44.54307174682617","498","498","498"
"5009","41.31949234008789","41.31949234008789","41.31949234008789","500","500","500"
"5019","81.80169677734375","81.80169677734375","81.80169677734375","501","501","501"
"5029","58.345096588134766","58.345096588134766","58.345096588134766","502","502","502"
"5059","78.82884979248047","78.82884979248047","78.82884979248047","505","505","505"
"5109","53.6879768371582","53.6879768371582","53.6879768371582","510","510","510"
"5119","39.7756233215332","39.7756233215332","39.7756233215332","511","511","511"
"5129","86.73524475097656","86.73524475097656","86.73524475097656","512","512","512"
"5139","50.438072204589844","50.438072204589844","50.438072204589844","513","513","513"
"5149","78.57345581054688","78.57345581054688","78.57345581054688","514","514","514"
"5169","61.54582214355469","61.54582214355469","61.54582214355469","516","516","516"
"5189","69.43695831298828","69.43695831298828","69.43695831298828","518","518","518"
"5259","216.5034637451172","216.5034637451172","216.5034637451172","525","525","525"
"5269","114.77008819580078","114.77008819580078","114.77008819580078","526","526","526"
"5319","48.12054443359375","48.12054443359375","48.12054443359375","531","531","531"
"5339","79.66817474365234","79.66817474365234","79.66817474365234","533","533","533"
"5369","78.52445220947266","78.52445220947266","78.52445220947266","536","536","536"
"5419","41.62644958496094","41.62644958496094","41.62644958496094","541","541","541"
"5429","36.94742965698242","36.94742965698242","36.94742965698242","542","542","542"
"5449","89.23210144042969","89.23210144042969","89.23210144042969","544","544","544"
"5489","57.99903869628906","57.99903869628906","57.99903869628906","548","548","548"
"5499","99.0245132446289","99.0245132446289","99.0245132446289","549","549","549"
"5509","42.84128189086914","42.84128189086914","42.84128189086914","550","550","550"
